Job Id,Experience,Qualifications,Salary Range,location,Work Type,Job Posting Date,Job Title,Role,Unnamed: 9,Job Description,skills,Company
1.29192E+15,0 to 9 Years,BBA,$57K-$122K,Copenhagen,Temporary,10/19/2021,Speech Therapist,Adult Speech Therapist,,Adult Speech Therapists work with adults to address speech and language disorders. They provide therapy and support to improve communication and enhance quality of life.,Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills,Britannia Industries
2.42166E+15,2 to 14 Years,BCA,$58K-$80K,Dakar,Intern,3/24/2022,Account Executive,Advertising Account Executive,,"An Advertising Account Executive works in advertising agencies, managing client accounts and overseeing the creation and execution of advertising campaigns.",Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying,Deutsche Annington Immobilien SE (Now Vonovia SE)
2.0168E+15,1 to 11 Years,BCA,$65K-$121K,Islamabad,Intern,2/28/2023,Project Manager,Agile Project Manager,,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.","Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)",Hindalco Industries
2.45993E+15,0 to 8 Years,MBA,$63K-$117K,Wellington,Contract,1/24/2023,Architect,Architectural Designer,,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",JD Sports Fashion
9.1461E+14,3 to 12 Years,BA,$61K-$111K,Belmopan,Temporary,8/22/2023,Art Director,Art Curator,,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.",Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,Deutsche Pfandbriefbank AG
3.04789E+15,2 to 12 Years,B.Tech,$64K-$103K,Berlin,Part-Time,4/20/2023,Art Teacher,Art Education Coordinator,,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.",Art education curriculum Program development Teacher training Communication skills Artistic expertise,ODP
2.47266E+15,1 to 14 Years,BCA,$56K-$93K,Dhaka,Contract,1/24/2023,QA Analyst,Automation Test Engineer,,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Tesla
2.81208E+15,5 to 10 Years,MBA,$58K-$81K,SÃƒÂ£o TomÃƒÂ©,Full-Time,2/9/2023,Software Tester,Automation Tester,,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",Tata Consumer Products
1.69841E+15,0 to 10 Years,B.Tech,$64K-$89K,Gaborone,Contract,11/23/2022,Sales Consultant,B2B Sales Consultant,,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,AutoNation
2.80873E+15,2 to 14 Years,PhD,$62K-$124K,Tegucigalpa,Temporary,7/3/2022,Software Engineer,Backend Developer,,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",Oil Search
2.1869E+15,3 to 14 Years,B.Com,$63K-$120K,Castries,Temporary,11/9/2022,Web Developer,Backend Web Developer,,"Backend Web Developers build and maintain the server-side logic and infrastructure required for web applications. They work on data storage, APIs, and server communication to support the functionality of web applications.","Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)",AGCO
2.6546E+15,4 to 11 Years,M.Tech,$56K-$128K,Kuwait City,Contract,4/25/2022,HR Coordinator,Benefits Coordinator,,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.",Employee benefits administration Benefits compliance HRIS Benefits communication,Muthoot Finance
2.44768E+15,2 to 12 Years,M.Com,$55K-$127K,Quito,Contract,9/27/2021,Data Engineer,Big Data Engineer,,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Fidelity Investments, Inc."
2.11423E+15,3 to 13 Years,BBA,$64K-$95K,Pretoria,Contract,5/30/2023,Marketing Director,Brand Director,,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.",Brand strategy Brand development Creative direction Brand management Market research,"Spirit Airlines, Inc."
2.03331E+15,3 to 15 Years,M.Com,$56K-$127K,Tripoli,Temporary,1/25/2022,Marketing Manager,Brand Manager,,"Brand Managers are responsible for maintaining and enhancing a brands image and reputation. They develop brand strategies, oversee branding campaigns, and ensure brand consistency in all marketing and communication efforts.",Brand strategy development Brand identity and design Brand storytelling Marketing campaigns Brand performance measurement Creative thinking Strong communication skills,CBRE Group
3.38506E+14,3 to 15 Years,MBA,$65K-$98K,Freetown,Temporary,7/2/2022,Brand Manager,Brand Marketing Analyst,,A Brand Marketing Analyst analyzes market data and consumer behavior to assess the effectiveness of branding strategies. They provide insights to improve brand marketing efforts.,"Marketing analytics Data analysis tools (e.g., Google Analytics, Adobe Analytics) Brand performance measurement Consumer behavior analysis Campaign effectiveness evaluation","Square, Inc."
2.07519E+15,3 to 14 Years,BCA,$55K-$119K,The City of Hamilton,Temporary,1/11/2023,Public Relations Specialist,Brand PR Specialist,,"Brand PR Specialists focus on promoting and maintaining a positive brand image through media relations, events, and communication efforts.",Brand management Public relations Brand storytelling Influencer marketing Media monitoring,Deutsche Lufthansa AG
2.51229E+15,0 to 13 Years,BBA,$56K-$91K,Chisinau,Full-Time,11/25/2021,Brand Manager,Brand Strategist,,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,InterContinental Hotels Group
9.81852E+14,3 to 10 Years,M.Com,$58K-$129K,Noumea,Part-Time,8/31/2023,Data Analyst,Business Intelligence Analyst,,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making","Wyndham Hotels & Resorts, Inc."
1.17615E+15,2 to 15 Years,M.Tech,$56K-$118K,City of Victoria,Contract,9/19/2021,Mechanical Designer,CAD Technician,,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable),XPO
2.123E+15,0 to 14 Years,BBA,$55K-$95K,New Delhi,Contract,7/17/2022,Customer Service Representative,Call Center Agent,,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone.",Customer service Call center operations Problem-solving skills,Textron
1.86236E+15,4 to 8 Years,B.Com,$62K-$126K,Maseru,Contract,11/19/2022,Process Engineer,Chemical Engineer,,"Chemical Engineers design and oversee processes for the production of chemicals and related products. They conduct experiments, analyze data, and develop processes to optimize production, ensure safety, and minimize environmental impact.",Chemical engineering Process design Chemical reactions Safety protocols Laboratory techniques Problem-solving skills,Expedia Group
2.97156E+15,2 to 10 Years,PhD,$65K-$89K,Port Moresby,Contract,3/2/2023,Family Lawyer,Child Custody Lawyer,,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.",Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation,Halma
2.22638E+14,2 to 9 Years,PhD,$59K-$102K,Bridgetown,Temporary,1/27/2022,Social Worker,Child Welfare Worker,,"Work with at-risk children and families, assess needs, provide support, and ensure child safety and well-being.",Child welfare policies and regulations Child protective services Child development Crisis intervention Case management Cultural competence Interviewing and assessment skills Court procedures Documentation Empathy Communication skills,Eversource Energy
1.74954E+15,1 to 8 Years,PhD,$59K-$87K,Seoul,Intern,1/6/2023,Urban Planner,City Planner,,"City Planners develop and implement urban planning strategies. They work to improve communities, manage resources, and address issues related to land use and infrastructure.",Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement,Pfizer Inc.
3.40716E+14,1 to 12 Years,B.Com,$61K-$106K,Paramaribo,Contract,6/8/2023,Teacher,Classroom Teacher,,"A Classroom Teacher educates students in a specific subject or grade level. They create lesson plans, deliver instruction, assess student progress, and foster a positive learning environment.",Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction,Farmers Insurance Exchange
1.36007E+15,1 to 10 Years,PhD,$65K-$101K,Tripoli,Part-Time,6/13/2023,Account Manager,Client Relationship Manager,,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",Client relationship management Customer service Communication skills,Jubilant Foodworks
1.38501E+15,4 to 8 Years,BA,$62K-$123K,Castries,Temporary,9/10/2022,Registered Nurse,Clinical Nurse Specialist,,"A Clinical Nurse Specialist is an advanced practice nurse who specializes in specific patient populations or clinical areas, providing expert care and contributing to improved patient outcomes.","Clinical nursing specialization (e.g., critical care, oncology) Advanced nursing skills Patient education",Bajaj Auto
6.19201E+14,1 to 14 Years,M.Com,$57K-$121K,Abuja,Contract,2/5/2022,Psychologist,Clinical Psychologist,,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.",Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,Tenet Healthcare
2.27673E+15,2 to 10 Years,MCA,$59K-$120K,Suva,Intern,2/24/2022,Software Architect,Cloud Architect,,"A Cloud Architect designs and manages cloud-based solutions, optimizing scalability, security, and performance while aligning them with the companys technology strategy.","Cloud computing platforms (AWS, Azure, etc.) Cloud security Containerization (Docker, Kubernetes)",DCP Midstream
,4 to 9 Years,B.Tech,$57K-$106K,Dakar,Intern,5/5/2023,Systems Engineer,Cloud Systems Engineer,,"As a Cloud Systems Engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. You will work with cloud platforms like AWS, Azure, or GCP to build scalable and reliable systems. Your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.","Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability","Fidelity Investments, Inc."
2.21637E+15,2 to 12 Years,MBA,$59K-$109K,Bamako,Part-Time,10/11/2021,Interior Designer,Commercial Interior Designer,,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency,Nucor
2.76605E+15,5 to 14 Years,M.Com,$55K-$121K,Phnom Penh,Intern,6/13/2022,Landscape Designer,Commercial Landscape Architect,,"Commercial Landscape Architects design outdoor spaces for commercial properties, such as office complexes and retail centers. They create functional and aesthetically pleasing landscapes that align with the clients goals and needs.",Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,Cintas
1.17058E+14,1 to 12 Years,MBA,$64K-$87K,Santiago,Intern,10/11/2022,Event Manager,Conference Manager,,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,Cairn Energy
1.28052E+15,4 to 8 Years,PhD,$56K-$95K,Quito,Contract,1/14/2023,Project Manager,Construction Project Manager,,"The Construction Project Manager oversees and manages construction projects, ensuring they are completed on time and within budget. They coordinate with contractors, architects, and other stakeholders to ensure successful project delivery.",Construction management Budgeting Contract negotiation Safety regulations,General Mills
1.97049E+15,2 to 15 Years,B.Com,$55K-$102K,Havana,Part-Time,11/24/2022,Social Media Coordinator,Content Creator,,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.","Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity",Regeneron Pharmaceuticals
5.65509E+14,2 to 15 Years,BA,$55K-$83K,Kathmandu,Contract,5/19/2023,Marketing Specialist,Content Marketing Manager,,"Content Marketing Managers oversee the creation and distribution of content to attract and engage customers. They develop content strategies, manage content teams, and track performance metrics to optimize content marketing efforts.",Content strategy Content creation Blog management Content promotion SEO Analytics and reporting,CarMax
1.53926E+15,0 to 8 Years,BBA,$57K-$110K,Bissau,Intern,3/9/2022,SEO Specialist,Content SEO Strategist,,"Content SEO Strategists create SEO strategies specifically for content, focusing on keyword integration, content quality, and user engagement to boost organic traffic.",Content strategy SEO content optimization Content marketing Keyword mapping Analytics,Bajaj Holdings & Investment Limited
2.08621E+15,4 to 15 Years,BCA,$61K-$122K,Male,Part-Time,11/29/2022,Content Writer,Content Strategist,,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth.",Content strategy Content planning SEO optimization Content marketing Analytics,Farmers Insurance Exchange
3.02321E+15,0 to 12 Years,PhD,$60K-$89K,Muscat,Intern,2/6/2022,Technical Writer,Content Writer,,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,Corning
1.97083E+15,1 to 14 Years,B.Tech,$58K-$106K,Athens,Intern,3/21/2023,Electrical Engineer,Controls Engineer,,"Controls Engineers specialize in industrial automation, designing and implementing control systems for machinery and manufacturing processes. They optimize efficiency and safety.",Control system design PLC programming Automation Instrumentation System integration,Lam Research
1.08141E+15,4 to 13 Years,M.Com,$58K-$121K,Bamako,Contract,11/4/2022,Legal Counsel,Corporate Attorney,,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.",Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills,Otis Worldwide
1.20116E+15,1 to 15 Years,BCA,$57K-$118K,Managua,Contract,10/11/2022,Legal Advisor,Corporate Counsel,,"As a Corporate Counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. You will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. Your role includes managing legal relationships with external partners and providing strategic legal guidance to the company.",Corporate law Compliance Mergers and acquisitions Corporate governance Contract drafting Risk management Legal strategy Due diligence,Deutsche Bahn AG
2.49773E+15,5 to 13 Years,M.Tech,$61K-$130K,City of Victoria,Contract,7/12/2023,Event Coordinator,Corporate Event Coordinator,,"Coordinate corporate events, conferences, and meetings, handle logistics, and ensure a seamless experience for attendees.",Corporate event planning Corporate branding and messaging Speaker and entertainment booking Audiovisual production Team coordination Crisis management Budgeting and financial management Client communication Creativity Problem-solving Attention to detail,Auto-Owners Insurance
1.01652E+15,0 to 15 Years,B.Tech,$57K-$111K,Victoria,Full-Time,2/26/2022,Litigation Attorney,Corporate Litigator,,"Corporate Litigators specialize in corporate law. They handle legal matters related to businesses, such as mergers, acquisitions, contracts, and disputes, to protect corporate interests.",Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation,Markel
1.88285E+15,0 to 13 Years,BBA,$56K-$88K,Paramaribo,Part-Time,6/23/2023,Paralegal,Corporate Paralegal,,"Provide legal support to corporate legal teams, assist with mergers and acquisitions, and manage corporate records.",Corporate legal tasks Document drafting Compliance Corporate governance Contract management Due diligence Entity formation Communication with stakeholders Attention to detail Technology proficiency Legal software proficiency Legal research skills,Ryder System
1.34379E+15,0 to 12 Years,MBA,$61K-$94K,Amman,Temporary,6/9/2023,Copywriter,Creative Copywriter,,"Creative Copywriters craft engaging and persuasive copy for marketing materials, advertisements, and content marketing campaigns. They use their writing skills to captivate audiences and convey brand messages effectively.",Creative writing Copywriting Advertising copy Content creation Brand storytelling Marketing campaigns Proofreading and editing,American Electric Power
1.48164E+14,5 to 9 Years,M.Tech,$56K-$99K,Vientiane,Contract,4/26/2022,Public Relations Specialist,Crisis Communication Manager,,"Crisis Communication Managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times.",Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication,Ambuja Cements
1.05152E+14,5 to 15 Years,BA,$56K-$87K,Port of Spain,Temporary,7/23/2023,Customer Support Specialist,Customer Success Manager,,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.",Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,Fiat Chrysler Automobiles N.V.
2.81876E+15,3 to 8 Years,BCA,$64K-$105K,Bangui,Part-Time,12/15/2022,Customer Service Manager,Customer Support Manager,,"Customer Support Managers oversee a team of customer support representatives. They set performance goals, resolve complex customer issues, and develop strategies to improve customer satisfaction and the efficiency of support operations.",Customer support Team leadership Customer satisfaction Issue resolution Performance metrics Training and development,Deutsche Lufthansa AG
1.31758E+15,5 to 13 Years,B.Com,$55K-$111K,Ouagadougou,Contract,8/25/2022,Marketing Analyst,Data Analyst,,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Constellation Brands
2.85346E+15,0 to 9 Years,B.Tech,$56K-$125K,London,Intern,8/3/2022,Data Engineer,Data Architect,,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Data architecture design Database management systems Data modeling,Equitable Holdings
2.51197E+15,1 to 10 Years,BBA,$60K-$82K,Berlin,Full-Time,1/15/2022,Business Analyst,Data Business Analyst,,"Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.","Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)",Balfour Beatty
1.71164E+15,1 to 13 Years,MCA,$56K-$89K,Nairobi,Part-Time,3/12/2022,Data Analyst,Data Quality Analyst,,"Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity.","Data quality assessment and improvement Data profiling and validation Knowledge of data quality tools (e.g., Informatica, Talend) Data governance principles SQL for data analysis Attention to detail and data accuracy",Westinghouse Air Brake Technologies
2.1494E+15,5 to 8 Years,PhD,$58K-$128K,Suva,Intern,9/7/2022,Data Analyst,Data Scientist,,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.","Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",AES
4.40705E+14,4 to 9 Years,B.Com,$63K-$95K,Conakry,Intern,6/10/2023,Systems Administrator,Database Administrator,,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery",Lumen Technologies
1.07344E+15,4 to 12 Years,M.Tech,$65K-$88K,Pretoria,Temporary,3/11/2022,Database Administrator,Database Analyst,,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making.",Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,DaVita
3.85984E+14,1 to 15 Years,BBA,$56K-$82K,Yaounde,Temporary,8/5/2023,Database Administrator,Database Developer,,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.","Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge",News Corp.
4.33984E+13,0 to 14 Years,B.Tech,$63K-$123K,Saint John's,Intern,2/12/2023,Database Administrator,Database Security Specialist,,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Quest Diagnostics
3.22391E+14,5 to 13 Years,B.Com,$56K-$105K,Nouakchott,Temporary,2/15/2022,Email Marketing Specialist,Deliverability Analyst,,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.","Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail",Arrow Electronics
1.84619E+15,5 to 10 Years,BA,$56K-$129K,AsunciÃƒÂ³n,Intern,6/17/2023,Supply Chain Manager,Demand Planner,,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Power Grid Corporation of India
1.51226E+15,5 to 8 Years,BA,$59K-$100K,Monrovia,Part-Time,9/16/2021,Dental Hygienist,Dental Hygiene Educator,,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Sanmina
2.04435E+15,3 to 12 Years,BBA,$60K-$108K,Cockburn Town,Part-Time,8/3/2022,Structural Engineer,Design Engineer,,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.",Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,Carnival Corporation & plc
4.63605E+14,2 to 9 Years,BBA,$65K-$117K,Brazzaville,Intern,4/8/2023,IT Support Specialist,Desktop Support Technician,,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",Brighthouse Financial
1.6123E+14,3 to 10 Years,MCA,$64K-$98K,San Jose,Part-Time,10/9/2021,Software Engineer,DevOps Engineer,,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills",China Mobile
5.9158E+14,3 to 10 Years,B.Tech,$56K-$95K,Tripoli,Part-Time,2/2/2022,Marketing Coordinator,Digital Marketing Coordinator,,"Digital Marketing Coordinators manage online marketing efforts, including social media, email marketing, and SEO, to drive digital engagement and growth.",Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency,Weir Group
1.39988E+15,5 to 15 Years,M.Com,$59K-$89K,LomÃƒÂ©,Part-Time,3/2/2023,Marketing Manager,Digital Marketing Manager,,"Digital Marketing Managers lead digital marketing efforts, including SEO, SEM, social media, email marketing, and content strategy. They develop and execute digital marketing campaigns to increase brand awareness, drive traffic, and generate leads or sales.","Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo)",Carnival Corporation & plc
9.79483E+14,1 to 10 Years,MCA,$59K-$92K,San Marino,Part-Time,11/23/2022,Marketing Specialist,Digital Marketing Specialist,,"Digital Marketing Specialists create and execute online marketing campaigns. They utilize digital channels like social media, email, and SEO to reach target audiences, generate leads, and improve brand visibility and engagement.",Digital marketing strategy Social media marketing Content creation SEO (Search Engine Optimization) PPC advertising Analytics and reporting,Casey's General Stores
